Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
08:59:52,37.01,28.65,0.0,200.0,27.7,96.2,0.196,0.196,9109.091,0.196,-0.1,10.125,0.258,20.105:0.000,20.150:0.000,20.092:0.000,20.033:0.004,19.869:0.053,19.082:0.226,15.384:0.498,0.632:0.589,0.620:0.599,0.565:0.553,0.522:0.513,0.487:0.480,0.474:0.468,0.466:0.459,0.463:0.457,0.461:0.454,0.458:0.452,0.457:0.450,0.458:0.453,0.464:0.458,09:00:57
09:02:59,37.29,28.69,0.125,200.0,27.9,95.3,0.196,0.196,9552.381,0.196,-0.1,10.313,0.36,20.394:0.000,20.409:0.000,20.544:0.000,20.573:0.004,20.392:0.054,19.790:0.230,18.307:0.512,0.817:0.711,0.717:0.689,0.695:0.679,0.711:0.697,0.733:0.720,0.741:0.729,0.769:0.757,0.819:0.807,0.838:0.826,0.796:0.785,0.752:0.741,0.704:0.695,0.700:0.690,09:04:04
09:06:08,40.01,29.09,0.0,200.0,27.9,94.2,0.196,0.196,11177.778,0.196,-0.1,10.277,0.413,20.270:0.000,20.169:0.000,20.105:0.000,20.052:0.004,19.896:0.056,19.260:0.232,17.270:0.511,0.684:0.631,0.652:0.630,0.647:0.632,0.654:0.642,0.665:0.654,0.674:0.663,0.670:0.660,0.648:0.638,0.624:0.615,0.622:0.613,0.605:0.597,0.592:0.584,0.609:0.601,09:07:13
09:09:15,39.71,28.95,0.0,190.0,28.1,94.0,0.196,0.196,12600.0,0.196,-0.1,10.069,0.289,19.905:0.000,19.882:0.000,19.867:0.000,19.831:0.005,19.633:0.056,18.801:0.232,14.034:0.502,0.552:0.522,0.531:0.516,0.518:0.507,0.509:0.500,0.505:0.496,0.501:0.493,0.500:0.493,0.499:0.492,0.499:0.492,0.497:0.491,0.496:0.489,0.494:0.488,0.492:0.486,09:10:20
09:12:23,37.05,28.91,0.125,200.0,28.3,93.5,0.196,0.196,12600.0,0.196,-0.1,10.145,0.275,20.154:0.000,20.285:0.000,20.397:0.000,20.394:0.005,20.301:0.056,19.781:0.233,18.529:0.517,12.588:0.837,0.988:0.929,0.946:0.917,0.899:0.879,0.916:0.898,0.923:0.907,0.907:0.893,0.817:0.805,0.849:0.836,0.749:0.738,0.646:0.637,0.617:0.609,0.693:0.684,09:13:29
09:15:31,38.51,29.15,0.0,190.0,28.2,93.5,0.196,0.196,13453.334,0.196,-0.1,9.935,0.197,19.636:0.000,19.641:0.000,19.650:0.000,19.637:0.005,19.404:0.059,18.292:0.238,0.484:0.406,0.425:0.406,0.417:0.407,0.414:0.407,0.414:0.407,0.414:0.407,0.414:0.407,0.413:0.408,0.413:0.408,0.413:0.408,0.414:0.408,0.414:0.408,0.414:0.409,0.414:0.409,09:16:36
09:18:38,35.83,28.97,0.0,200.0,28.4,93.5,0.196,0.196,13453.334,0.196,-0.1,10.084,0.209,19.909:0.000,19.910:0.000,19.912:0.000,19.894:0.004,19.674:0.055,18.658:0.230,0.537:0.420,0.441:0.421,0.431:0.421,0.428:0.420,0.427:0.420,0.427:0.420,0.426:0.419,0.425:0.419,0.425:0.419,0.425:0.419,0.425:0.420,0.426:0.420,0.426:0.421,0.427:0.421,09:19:43
09:21:46,36.07,29.31,0.0,190.0,28.2,93.3,0.196,0.196,14428.572,0.196,-0.1,10.141,0.244,20.068:0.000,20.075:0.000,20.081:0.000,20.073:0.004,19.893:0.054,19.101:0.227,14.600:0.497,0.554:0.523,0.544:0.528,0.544:0.532,0.546:0.536,0.549:0.540,0.552:0.544,0.557:0.548,0.559:0.552,0.562:0.555,0.565:0.558,0.568:0.560,0.570:0.563,0.572:0.565,09:22:52
09:24:53,37.33,29.29,0.0,200.0,28.4,92.9,0.196,0.196,14428.572,0.196,-0.1,10.032,0.221,19.845:0.000,19.841:0.000,19.836:0.000,19.815:0.004,19.599:0.055,18.617:0.229,0.589:0.431,0.452:0.431,0.441:0.430,0.438:0.429,0.436:0.429,0.434:0.428,0.433:0.427,0.432:0.426,0.431:0.425,0.430:0.425,0.429:0.424,0.428:0.423,0.427:0.422,0.427:0.421,09:25:59
09:28:03,36.31,29.31,0.0,200.0,28.4,92.5,0.196,0.196,14428.572,0.196,-0.1,9.997,0.197,19.789:0.000,19.795:0.000,19.798:0.000,19.784:0.004,19.573:0.053,18.545:0.226,0.508:0.408,0.430:0.410,0.422:0.412,0.423:0.415,0.426:0.419,0.427:0.421,0.431:0.425,0.432:0.427,0.436:0.430,0.443:0.437,0.456:0.450,0.461:0.455,0.460:0.454,0.466:0.461,09:29:08
