Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
16:53:43,33.39,33.19,0.0,190.0,35.6,66.2,0.196,0.196,  INF,0.196,263.425,9.69,0.093,19.100:0.000,19.101:0.000,19.103:0.000,19.063:0.005,18.552:0.059,0.271:0.183,0.195:0.183,0.188:0.184,0.187:0.184,0.187:0.184,0.186:0.184,0.187:0.184,0.187:0.184,0.187:0.185,0.187:0.185,0.187:0.185,0.187:0.185,0.187:0.185,0.188:0.185,0.187:0.185,16:54:48
16:56:51,33.85,33.05,0.0,190.0,35.7,64.7,0.196,0.196,  INF,0.196,262.205,9.622,0.081,18.968:0.000,18.980:0.000,19.002:0.000,18.981:0.005,18.441:0.059,0.239:0.172,0.183:0.172,0.176:0.172,0.174:0.171,0.172:0.170,0.171:0.169,0.170:0.168,0.170:0.167,0.170:0.167,0.171:0.169,0.171:0.169,0.171:0.169,0.171:0.169,0.170:0.168,0.167:0.165,16:57:56
16:59:59,32.77,31.21,0.0,190.0,35.3,66.6,0.196,0.196,  INF,0.196,262.005,9.638,0.081,19.018:0.000,19.018:0.000,19.016:0.000,18.971:0.005,18.377:0.059,0.212:0.161,0.169:0.160,0.164:0.160,0.163:0.160,0.162:0.160,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.161,0.162:0.160,0.162:0.160,17:01:05
17:03:08,32.27,30.59,0.0,200.0,33.8,70.0,0.196,0.196,  INF,0.196,263.159,9.599,0.072,18.939:0.000,18.936:0.000,18.931:0.000,18.879:0.005,18.191:0.058,0.180:0.143,0.150:0.142,0.145:0.142,0.145:0.142,0.144:0.142,0.143:0.141,0.142:0.141,0.142:0.140,0.141:0.140,0.141:0.140,0.141:0.140,0.141:0.139,0.140:0.139,0.140:0.138,0.140:0.138,17:04:13
17:06:16,31.97,30.43,0.0,190.0,32.3,73.5,0.196,0.196,  INF,0.196,263.931,9.504,0.059,18.719:0.000,18.717:0.000,18.710:0.000,18.648:0.005,17.759:0.058,0.141:0.118,0.123:0.117,0.120:0.117,0.119:0.117,0.119:0.117,0.118:0.117,0.118:0.116,0.118:0.116,0.117:0.116,0.117:0.116,0.117:0.116,0.116:0.116,0.116:0.115,0.116:0.115,0.116:0.115,17:07:21
17:09:24,31.35,29.63,0.0,200.0,31.8,74.7,0.196,0.196,  INF,0.196,264.579,9.444,0.052,18.607:0.000,18.605:0.000,18.600:0.000,18.530:0.005,17.440:0.057,0.119:0.101,0.106:0.101,0.103:0.101,0.102:0.100,0.102:0.100,0.101:0.100,0.101:0.099,0.100:0.099,0.100:0.099,0.099:0.098,0.099:0.098,0.099:0.098,0.098:0.098,0.098:0.097,0.098:0.097,17:10:30
17:12:33,30.43,29.09,0.0,200.0,31.1,75.8,0.196,0.196,  INF,0.196,265.508,9.389,0.047,18.498:0.000,18.498:0.000,18.494:0.000,18.418:0.005,17.074:0.056,0.106:0.091,0.094:0.091,0.093:0.091,0.092:0.091,0.092:0.091,0.092:0.091,0.091:0.091,0.091:0.090,0.091:0.090,0.091:0.090,0.091:0.090,0.091:0.090,0.091:0.090,0.091:0.090,0.091:0.090,17:13:38
17:15:41,30.11,29.03,0.0,190.0,30.8,77.5,0.196,0.196,  INF,0.196,266.471,9.399,0.044,18.508:0.000,18.508:0.000,18.504:0.000,18.428:0.005,17.034:0.056,0.102:0.088,0.092:0.088,0.089:0.088,0.089:0.088,0.089:0.087,0.089:0.087,0.089:0.087,0.089:0.087,0.088:0.087,0.088:0.087,0.088:0.087,0.088:0.087,0.088:0.087,0.088:0.087,0.088:0.087,17:16:46
17:18:49,29.75,28.77,0.0,200.0,30.3,78.8,0.196,0.196,  INF,0.196,268.663,9.378,0.042,18.485:0.000,18.483:0.000,18.477:0.000,18.398:0.005,16.913:0.055,0.097:0.084,0.087:0.084,0.085:0.084,0.085:0.084,0.084:0.084,0.084:0.084,0.084:0.084,0.084:0.084,0.084:0.084,0.084:0.084,0.084:0.083,0.084:0.083,0.084:0.083,0.084:0.083,0.084:0.083,17:19:55
17:21:58,29.57,28.89,0.0,190.0,30.1,79.6,0.196,0.196,  INF,0.196,271.51,9.382,0.04,18.450:0.000,18.449:0.000,18.442:0.000,18.360:0.004,16.750:0.054,0.093:0.080,0.083:0.080,0.081:0.080,0.081:0.080,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.080:0.079,0.079:0.079,17:23:03
