Started,Panel Temp(°C),Floor Temp(°C),Wind Speed(m/s),Irradience(W/m2),Ambient Temp(°C),Ambient Hum(%),North LDR(kΩ),East LDR(kΩ),South LDR(kΩ),West LDR(kΩ),Dust(µg/m3),Voc(V),Isc(A),IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,Ended
17:51:20,26.67,27.11,0.0,200.0,27.2,99.9,0.391,0.391,  INF,0.391,279.952,8.495,0.011,16.683:0.000,16.677:0.000,16.657:0.000,16.301:0.003,0.049:0.022,0.024:0.022,0.023:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.021:0.022,0.022:0.022,0.022:0.022,0.022:0.022,0.022:0.022,17:52:25
17:54:29,26.47,27.05,0.0,200.0,27.1,99.9,0.391,0.391,  INF,0.391,263.508,8.442,0.011,16.546:0.000,16.540:0.000,16.518:0.000,16.116:0.003,0.044:0.020,0.023:0.020,0.021:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.020:0.020,0.019:0.020,0.020:0.020,0.020:0.020,0.019:0.020,17:55:34
17:57:36,26.21,26.85,0.0,200.0,27.1,99.9,0.588,0.588,  INF,0.391,256.577,8.32,0.01,16.306:0.000,16.297:0.000,16.270:0.000,15.773:0.003,0.037:0.018,0.020:0.018,0.019:0.018,0.018:0.018,0.018:0.018,0.018:0.018,0.018:0.018,0.018:0.018,0.017:0.018,0.018:0.018,0.018:0.018,0.017:0.018,0.018:0.018,0.017:0.018,0.017:0.018,0.017:0.018,17:58:41
18:00:47,26.11,26.79,0.0,200.0,27.0,99.9,0.588,0.588,  INF,0.391,235.069,8.143,0.008,15.906:0.000,15.896:0.000,15.871:0.000,15.196:0.003,0.030:0.015,0.016:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.015:0.015,0.014:0.015,0.015:0.015,0.015:0.015,0.014:0.015,0.015:0.015,0.014:0.014,18:01:53
18:03:56,25.97,26.55,0.0,190.0,26.9,99.9,0.588,0.588,  INF,0.391,238.498,7.918,0.006,15.411:0.000,15.399:0.000,15.353:0.000,14.413:0.003,0.024:0.012,0.013:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.012:0.012,0.011:0.012,0.011:0.012,0.011:0.012,0.012:0.012,0.011:0.012,0.011:0.012,0.011:0.012,18:05:01
18:07:04,25.81,26.49,0.0,190.0,26.8,99.9,0.784,0.784,  INF,0.588,242.665,7.67,0.005,14.821:0.000,14.807:0.000,14.746:0.000,13.460:0.003,0.019:0.010,0.011:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.010:0.010,0.010:0.010,0.009:0.010,0.010:0.010,0.009:0.010,0.009:0.010,0.009:0.010,0.009:0.010,0.010:0.010,18:08:09
18:10:12,25.75,26.43,0.0,200.0,26.8,99.9,0.784,0.784,  INF,0.588,246.84,7.332,0.004,14.037:0.000,14.019:0.000,13.937:0.000,12.083:0.003,0.015:0.008,0.008:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.006:0.008,0.006:0.008,0.007:0.008,0.007:0.008,0.007:0.008,0.006:0.007,0.006:0.007,18:11:17
18:13:28,25.61,26.37,0.0,200.0,26.7,99.9,0.981,0.981,  INF,0.784,257.457,6.874,0.003,12.980:0.000,12.958:0.000,12.845:0.000,9.789:0.003,0.011:0.006,0.006:0.006,0.005:0.006,0.005:0.006,0.005:0.005,0.005:0.006,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,0.005:0.005,18:14:33
18:16:37,25.43,26.27,0.0,200.0,26.6,99.9,1.377,1.377,  INF,0.981,269.775,6.355,0.002,11.762:0.000,11.738:0.000,11.576:0.000,5.588:0.003,0.007:0.004,0.004:0.004,0.004:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,0.003:0.004,18:17:42
18:19:45,25.29,26.17,0.0,200.0,26.5,99.9,1.773,1.773,  INF,1.377,270.165,5.787,0.002,10.391:0.000,10.363:0.000,10.129:0.000,0.092:0.003,0.004:0.003,0.002:0.003,0.002:0.003,0.002:0.002,0.002:0.003,0.002:0.003,0.002:0.003,0.002:0.003,0.002:0.002,0.002:0.002,0.002:0.002,0.002:0.002,0.002:0.002,0.002:0.002,0.002:0.002,0.002:0.002,18:20:50
